Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
Region,Level,Item,,,,,,,,,,,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),8.1587537356488e-12,3.936991808416535e-12,2.046035300545852e-12,4.3724510652929456e-13,3.4262226561062224e-13,3.9322071524024694e-13,4.1768718553084667e-13,2.1998802106600383e-13,1.8881303778187908e-13,3.926969733513818e-13,4.5478134170132724e-12,4.5330240350196446e-13,1.484477488568136e-13,1.2883770398898592e-12,2.946327993707529e-13
China,Activity,Activities of membership organisation n.e.c. (91),2.4107357525651204e-14,4.3710441641607516e-15,2.3845861236679944e-15,4.513594331471746e-16,4.595700499269789e-16,6.347675293740385e-16,8.879425227667879e-16,2.7393040714475885e-16,2.600455107147131e-16,7.238855047469159e-16,1.329256585572975e-14,8.388042051214316e-16,2.710470825533299e-16,1.5040943136797501e-15,4.517032192797584e-16
China,Activity,Air transport (62),9.464689425543256e-12,4.470493567118103e-12,2.4709776347823234e-12,5.011908551888707e-13,6.140160305608515e-13,6.022775319681029e-13,7.382808868697464e-13,3.569088020683827e-13,3.628877802678114e-13,6.094874824339875e-13,5.338922774907304e-12,6.739589461779675e-13,3.723016807855591e-13,1.6039451106154853e-12,5.107943093200328e-13
China,Activity,Aluminium production,2.9479034572898914e-12,2.236719700783974e-12,1.0796208789078194e-12,9.024409168686855e-14,1.0146346452538048e-13,1.3486415945744247e-13,1.426393935110261e-13,6.353533812642131e-14,5.99606898582213e-14,1.19416846604262e-13,1.6374513345208028e-12,8.702453117116411e-14,4.091798453368939e-14,6.678934290153038e-13,9.197276163686947e-14
China,Activity,Animal products nec,5.35440551530212e-13,2.2393757020617547e-13,1.4133768396689298e-13,8.197952353973714e-14,5.4646987291834497e-14,5.71806968934533e-14,5.6220748829472636e-14,3.395894102770597e-14,2.4678337480094823e-14,6.413166305724901e-14,3.040262134039504e-13,6.582827972163911e-14,2.2259983086044777e-14,9.089627855363491e-14,4.3521625630281844e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.1925989955597003e-13,1.6221592435000947e-12,7.29484946012068e-13,3.1253512068947085e-14,4.3646253129924926e-14,5.840351788386748e-14,5.74687178973085e-14,2.6762320888458154e-14,2.5702393098337427e-14,4.8503049401110554e-14,2.411763164821622e-13,3.4257969749746534e-14,1.767275611143042e-14,4.559471760514919e-13,3.895541938337119e-14
