Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
Region,Level,Item,,,,,,,,,,,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.4963255820250277e-08,1.2067104645922282e-08,6.270196226742714e-09,1.338697981246692e-09,1.0472668556476754e-09,1.2032363960982248e-09,1.2777115099434143e-09,6.730144530218396e-10,5.767966843700371e-10,1.2018275887477633e-09,8.300539567650013e-09,1.3886685682916077e-09,4.5234898183396385e-10,2.0702047213614124e-09,9.010047447345947e-10
China,Activity,Activities of membership organisation n.e.c. (91),1.9237037175724076e-09,3.491423454384843e-10,1.9043533267379756e-10,3.600598624529968e-11,3.662080990495751e-11,5.062999839443806e-11,7.085448810665466e-11,2.184173111296894e-11,2.0713473344982315e-11,5.776929408756053e-11,6.280669788411597e-10,6.698210221583025e-11,2.1571640443977703e-11,6.445770308711905e-11,3.60182576145183e-11
China,Activity,Air transport (62),1.622319391656136e-08,7.676252358637007e-09,4.2422731919849005e-09,8.596199665521586e-10,1.052492075023973e-09,1.0328965451186198e-09,1.2661178937262132e-09,6.120492067728545e-10,6.218915750601316e-10,1.045406101878237e-09,5.502847881110953e-09,1.1568178889114965e-09,6.375959465903136e-10,1.5218380476945473e-09,8.757800543782023e-10
China,Activity,Aluminium production,3.436235808343643e-07,2.613427737073791e-07,1.2612353469857978e-07,1.0510918048507478e-08,1.1793717305232697e-08,1.5716815945981164e-08,1.6612398268367237e-08,7.396455046217672e-09,6.965112830121784e-09,1.3913728507209128e-08,1.1358292849947204e-07,1.0150305455912866e-08,4.725027096308274e-09,3.876744392223558e-08,1.0702350854470311e-08
China,Activity,Animal products nec,1.3228296808893644e-09,5.541807231063895e-10,3.4972900291697926e-10,2.0282583738304744e-10,1.3510442652468411e-10,1.4141863099751107e-10,1.3901642495929886e-10,8.398407144981253e-11,6.098017301989386e-11,1.5863400423774816e-10,4.536259759813432e-10,1.6288678893348407e-10,5.4958556869682616e-11,1.296081298502905e-10,1.0761066931477939e-10
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.8511476858906904e-07,7.229665472552797e-07,3.2506270970443496e-07,1.3839938216573566e-08,1.9288663496699204e-08,2.592813843001829e-08,2.5468400897617277e-08,1.1855157042659625e-08,1.1346084155772677e-08,2.151225594815274e-08,6.486424649738144e-08,1.522108871775136e-08,7.727337082680987e-09,9.806882274279025e-08,1.7244759064245595e-08
